Set,Name,Theme,Year,Parts,Store,Cost,Discount
9449-1,Ultra Sonic Raider,Ninjago,2012,622,"BrickALeg(BrickOwl, MY)","CFA134,375Avg: CFA106,881",-
70326-1,The Black Knight Mech,Nexo Knights,2016,530,"eBay US(eBay, US)","CFA49,535Avg: CFA39,394",-
75209-1,Han Solo's Landspeeder,Star Wars,2018,345,"A brick per day e.U.(BrickOwl, AT)","CFA20,985Avg: CFA16,688",-
40330-1,UFO,LEGO Brand Store,2019,36,"3_BRICKS(BrickOwl, SI)","CFA4,059Avg: CFA3,228",-
76128-1,Molten Man Battle,Super Heroes Marvel,2019,302,"3_BRICKS(BrickOwl, SI)","CFA22,465Avg: CFA17,860",-
6211-1,Imperial Star Destroyer,Star Wars,2006,1389,"Missing Brick(BrickLink, US)","CFA307,605Avg: CFA244,537",-
30368-1,Fire Rescue Water Scooter,Town,2020,34,"Amazon US(Amazon, US)","CFA2,833List: CFA3,211Avg: CFA2,553",-
40375-1,Sports Accessories,Xtra,2020,36,"A brick per day e.U.(BrickOwl, AT)","CFA3,869Avg: CFA3,076",-
60257-1,Service Station,Town,2020,354,"shop-bricks(BrickOwl, DE)","CFA39,325Avg: CFA31,258",-
70751-1,Temple of Airjitzu,Ninjago,2015,2030,"Bouwstenenshop(BrickLink, NL)","CFA216,491Avg: CFA172,078",-
10270-1,Bookshop,Modular Buildings,2020,2504,"Amazon US(Amazon, US)","CFA138,077Avg: CFA109,751",-
75185-1,Tracker I,Star Wars,2017,557,"1brick4all(BrickOwl, IT)","CFA58,380Avg: CFA46,397",-
71737-1,X-1 Ninja Charger,Ninjago,2021,599,"3_BRICKS(BrickOwl, SI)","CFA38,177Avg: CFA30,336",-
60124-1,Volcano Exploration Base,Town,2016,824,"1brick4all(BrickOwl, IT)","CFA83,307Avg: CFA66,197",-
70922-1,The Joker Manor,Super Heroes DC,2017,3445,"A brick per day e.U.(BrickOwl, AT)","CFA313,203Avg: CFA248,873",-
21162-1,The Taiga Adventure,Minecraft,2020,74,"Amazon US(Amazon, US)","CFA8,624Avg: CFA6,851",-
71738-1,Zane's Titan Mech Battle,Ninjago,2021,852,"3_BRICKS(BrickOwl, SI)","CFA47,721Avg: CFA37,905",-
31093-1,Riverside Houseboat,Creator,2019,396,"3_BRICKS(BrickOwl, SI)","CFA23,580Avg: CFA18,728",-
75950-1,Aragog's Lair,Harry Potter,2018,157,"Sonic Boom Bricks(BrickLink, US)","CFA12,952Avg: CFA10,287",-
853744-1,Knightmare Batman Accessory Set,Super Heroes DC,2018,47,"A brick per day e.U.(BrickOwl, AT)","CFA13,032Avg: CFA10,349",-
60206-1,Sky Police Jet Patrol,Town,2019,54,"briansbricks.com(BrickLink, US)","CFA8,089Avg: CFA6,423",-
60206-1,Sky Police Jet Patrol,Town,2019,54,"Amazon US(Amazon, US)","CFA8,089Avg: CFA6,423",-
43187-1,Rapunzel's Tower,Disney Princess,2020,369,"3_BRICKS(BrickOwl, SI)","CFA45,971Avg: CFA36,500",-
60204-1,City Hospital,Town,2018,861,"Funny_bricks(BrickLink, HK)","CFA75,168Avg: CFA59,674",-
31075-1,Outback Adventures,Creator,2018,225,"eBay US(eBay, US)","CFA16,190Avg: CFA12,851",-
70169-1,Agent Stealth Patrol,Agents,2015,476,"1brick4all(BrickOwl, IT)","CFA51,821Avg: CFA41,132",-
31077-1,Modular Sweet Surprises,Creator,2018,396,"3_BRICKS(BrickOwl, SI)","CFA28,079Avg: CFA22,287",-
76897-1,1985 Audi Sport quattro S1,Speed Champions,2020,253,"3_BRICKS(BrickOwl, SI)","CFA16,264Avg: CFA12,909",-
70916-1,The Batwing,Super Heroes DC,2017,1053,"3_BRICKS(BrickOwl, SI)","CFA74,864Avg: CFA59,411",-
76009-1,Superman: Black Zero Escape,Super Heroes DC,2013,168,"3_BRICKS(BrickOwl, SI)","CFA20,641Avg: CFA16,376",-
60208-1,Sky Police Parachute Arrest,Town,2019,218,"3_BRICKS(BrickOwl, SI)","CFA24,209Avg: CFA19,206",-
60202-1,People Pack - Outdoor Adventures,Town,2018,164,"eBay US(eBay, US)","CFA32,369Avg: CFA25,677",-
71372-1,Cat Mario Power-Up Pack,Super Mario,2020,11,"Amazon US(Amazon, US)","CFA7,647Avg: CFA6,066",-
42046-1,Getaway Racer,Technic,2016,170,"Brick-A-Lot(BrickOwl, GB)","CFA31,266Avg: CFA24,794",-
41366-1,Olivia's Cupcake Cafe,Friends,2019,335,"3_BRICKS(BrickOwl, SI)","CFA23,000Avg: CFA18,237",-
40203-1,Vampire and Bat,Seasonal,2016,150,"eBay US(eBay, US)","CFA8,780Avg: CFA6,962",-
71377-1,King Boo and the Haunted Yard Expansion Set,Super Mario,2020,431,"eBay US(eBay, US)","CFA39,228Avg: CFA31,100",-
41162-1,"Ariel, Aurora, and Tiana's Royal Celebration",Disney Princess,2019,282,"eBay US(eBay, US)","CFA37,771Avg: CFA29,943",-
40425-1,Nutcracker,Brickheadz,2020,180,"3_BRICKS(BrickOwl, SI)","CFA17,717Avg: CFA14,044",-
40311-1,Traffic Lights,Xtra,2018,46,"Rares and Spares(BrickOwl, BE)","CFA4,526Avg: CFA3,587",-
42094-1,Tracked Loader,Technic,2019,827,"Brick Takeover(BrickOwl, DE)","CFA51,121Avg: CFA40,514",-
70665-1,The Samurai Mech,Ninjago,2019,154,"Badeloch's Bricks(BrickOwl, NL)","CFA11,807Avg: CFA9,357",-
60205-1,Tracks,Town,2018,20,"Brick Takeover(BrickOwl, DE)","CFA13,860Avg: CFA10,982",-
40306-1,LEGOLAND Micro Castle,Legoland Parks,2018,220,"A brick per day e.U.(BrickOwl, AT)","CFA15,319Avg: CFA12,137",-
21036-1,Arc de Triomphe,Architecture,2017,386,"MY OWN STORE(BrickLink, DK)","CFA44,142Avg: CFA34,950",-
76081-1,The Milano vs. The Abilisk,Super Heroes Marvel,2017,462,"rapidos2(BrickLink, CA)","CFA67,430Avg: CFA53,386",-
21050-1,Architecture Studio,Architecture,2013,1211,"Sekoia Bricks(BrickLink, DE)","CFA262,604Avg: CFA207,904",-
10928-1,Bakery,Duplo,2020,46,"3_BRICKS(BrickOwl, SI)","CFA28,709Avg: CFA22,728",-
70419-1,Wrecked Shrimp Boat,Hidden Side,2019,310,"A brick per day e.U.(BrickOwl, AT)","CFA22,116Avg: CFA17,507",-
40165-1,Minifigure Wedding Favor Set,LEGO Brand Store,2016,91,"shop-bricks(BrickOwl, DE)","CFA13,086Avg: CFA10,357",-
60198-1,Cargo Train,Town,2018,1226,"steinwerk24_com(BrickOwl, DE)","CFA131,159Avg: CFA103,806",-
75248-1,Resistance A-Wing Starfighter,Star Wars,2019,269,"3_BRICKS(BrickOwl, SI)","CFA22,465Avg: CFA17,779",-
40334-1,Avengers Tower,Super Heroes Marvel,2019,211,"Amazon US(Amazon, US)","CFA29,681Avg: CFA23,490",-
40355-1,Year Of The Rat,Seasonal,2020,162,"PikkaBrikka(BrickOwl, CZ)","CFA11,386Avg: CFA9,011",-
76070-1,Mighty Micros: Wonder Woman vs. Doomsday,Super Heroes DC,2017,85,"A brick per day e.U.(BrickOwl, AT)","CFA8,326Avg: CFA6,588",-
21055-1,Burj Khalifa,Architecture,2019,333,"ubertoys.eu(BrickOwl, BE)","CFA53,103Avg: CFA42,014",-
8862-1,Backhoe Grader,Technic,1989,679,"Set Shop Boy(BrickOwl, DE)","CFA392,918Avg: CFA310,852",-
76149-1,The Menace of Mysterio,Super Heroes Marvel,2020,163,"Amazon UK(Amazon, GB)","CFA25,539Avg: CFA20,123",-
70436-1,Phantom Fire Truck 3000,Hidden Side,2020,760,"Amazon US(Amazon, US)","CFA52,347Avg: CFA41,412",-
75146-1,Star Wars Advent Calendar 2016,Seasonal,2016,282,"A brick per day e.U.(BrickOwl, AT)","CFA26,377Avg: CFA20,865",-
41599-1,Wonder Woman,Brickheadz,2018,143,"eBay US(eBay, US)","CFA13,491Avg: CFA10,670",-
40391-1,First Order Stormtrooper,Brick Sketches,2020,151,"A brick per day e.U.(BrickOwl, AT)","CFA18,576Avg: CFA14,692",-
88010-1,Remote Control,Power Functions,2019,1,"3_BRICKS(BrickOwl, SI)","CFA18,712Avg: CFA14,799",-
853744-1,Knightmare Batman Accessory Set,Super Heroes DC,2018,47,"ubertoys.eu(BrickOwl, BE)","CFA13,086Avg: CFA10,349",-
75877-1,Mercedes-AMG GT3,Speed Champions,2017,203,"eBay US(eBay, US)","CFA26,978Avg: CFA21,333",- 
30404-1,Friendship Flower,Friends,2018,100,"Pleasure Bricks(BrickOwl, GB)","CFA4,568Avg: CFA3,612",-
911729-1,Droid Gunship,Star Wars,2017,25,"Set Shop Boy(BrickOwl, DE)","CFA2,788Avg: CFA2,204",-
80104-1,Lion Dance,Chinese Traditional Festivals,2020,882,"A brick per day e.U.(BrickOwl, AT)","CFA77,777Avg: CFA61,488",-
60132-1,Service Station,Town,2016,515,"eBay US(eBay, US)","CFA64,754Avg: CFA51,191",-
9474-1,The Battle of Helm’s Deep,The Hobbit and Lord of the Rings,2012,1367,"Everything StarWars & More(BrickLink, US)","CFA215,858Avg: CFA170,639",-
9474-1,The Battle of Helm’s Deep,The Hobbit and Lord of the Rings,2012,1367,"Brick loads of fun(BrickLink, US)","CFA215,863Avg: CFA170,639",-
9474-1,The Battle of Helm’s Deep,The Hobbit and Lord of the Rings,2012,1367,"Piles O Plastic(BrickLink, US)","CFA215,863Avg: CFA170,639",-
9474-1,The Battle of Helm’s Deep,The Hobbit and Lord of the Rings,2012,1367,"Jaspers Bricks(BrickLink, CA)","CFA215,863Avg: CFA170,639",-
30192-1,F40,Racers,2012,48,"PikkaBrikka(BrickOwl, CZ)","CFA5,807Avg: CFA4,589",-
30189-1,Transport Plane,Creator,2014,49,"takeabrick_es(BrickLink, ES)","CFA3,283Avg: CFA2,594",-
10728-1,Mia's Vet Clinic,Juniors,2016,182,"eBay US(eBay, US)","CFA32,380Avg: CFA25,584",-
42043-1,Mercedes-Benz Arocs 3245,Technic,2015,2793,"KLODSMAJOR(BrickLink, DK)","CFA238,364Avg: CFA188,305",-
71025-1,Video Game Champ,Collectible Minifigures,2019,7,"Pleasure Bricks(BrickOwl, GB)","CFA3,043Avg: CFA2,403",-
30398-1,Adventure Camp Bridge,Friends,2016,37,"Brick Takeover(BrickOwl, DE)","CFA4,476Avg: CFA3,536",-
60204-1,City Hospital,Town,2018,861,"The Rabbit Hole(BrickLink, HK)","CFA75,552Avg: CFA59,674",-
40254-1,Nutcracker,Seasonal,2017,230,"Pano Brickstore(BrickLink, BE)","CFA19,696Avg: CFA15,555",-
40254-1,Nutcracker,Seasonal,2017,230,"brickalife(BrickLink, FR)","CFA19,696Avg: CFA15,555",-
10913-1,Brick Box,Duplo,2020,65,"3_BRICKS(BrickOwl, SI)","CFA22,465Avg: CFA17,737",-
60052-1,Cargo Train,Town,2014,889,"1brick4all(BrickOwl, IT)","CFA156,774Avg: CFA123,774",-
30259-1,Azari’s Magic Fire,Elves,2015,27,"Luxbrick(BrickOwl, LU)","CFA3,936Avg: CFA3,107",-
30628-1,The Monster Book of Monsters,Harry Potter,2020,320,"Brixalotl(BrickOwl, US)","CFA40,474Avg: CFA31,951",-
30352-1,Police Car,Town,2017,50,"A brick per day e.U.(BrickOwl, AT)","CFA3,032Avg: CFA2,393",-
75932-1,Jurassic Park Velociraptor Chase,Jurassic World,2018,360,"eBay US(eBay, US)","CFA37,771Avg: CFA29,811",-
70606-1,Spinjitzu Training,Ninjago,2017,109,"briansbricks.com(BrickLink, US)","CFA8,089Avg: CFA6,385",-
70606-1,Spinjitzu Training,Ninjago,2017,109,"Newkirk Toy Shop(BrickLink, US)","CFA8,089Avg: CFA6,385",-
31104-1,Monster Burger Truck,Creator,2020,499,"3_BRICKS(BrickOwl, SI)","CFA37,435Avg: CFA29,541",-
21052-1,Dubai,Architecture,2020,740,"A brick per day e.U.(BrickOwl, AT)","CFA49,171Avg: CFA38,801",-
71369-1,Bowser's Castle Boss Battle Expansion Set,Super Mario,2020,1010,"3_BRICKS(BrickOwl, SI)","CFA77,967Avg: CFA61,507",-
75810-1,The Upside Down,Stranger Things,2019,2287,"A brick per day e.U.(BrickOwl, AT)","CFA165,190Avg: CFA130,313",-
30014-1,Police Helicopter,Town,2011,32,"shop-bricks(BrickOwl, DE)","CFA3,273Avg: CFA2,582",-
60135-1,ATV Arrest,Town,2017,47,"Celebrick(BrickOwl, GB)","CFA7,245Avg: CFA5,714",-
70606-1,Spinjitzu Training,Ninjago,2017,109,"Find a brick you need(BrickLink, US)","CFA8,095Avg: CFA6,385",-
42119-1,Monster Jam Max-D,Technic,2021,230,"eBay US(eBay, US)","CFA15,294Avg: CFA12,062",-
5005236-1,Friends Clubhouse,Friends,2018,29,"Pleasure Bricks(BrickOwl, GB)","CFA4,568Avg: CFA3,602",-
76114-1,Spider-Man's Spider Crawler,Super Heroes Marvel,2019,426,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA25,347",-
60219-1,Construction Loader,Town,2019,88,"3_BRICKS(BrickOwl, SI)","CFA8,475Avg: CFA6,683",-
76384-1,Hogwarts Moment: Herbology Class,Harry Potter,2021,233,"3_BRICKS(BrickOwl, SI)","CFA25,451Avg: CFA20,068",-
42117-1,Race Plane,Technic,2021,154,"Amazon US(Amazon, US)","CFA8,089Avg: CFA6,379",-
71719-1,Zane's Mino Creature,Ninjago,2020,617,"1brick4all(BrickOwl, IT)","CFA38,701Avg: CFA30,516",-
8963-1,Rock Wrecker,Power Miners,2009,225,"Cosmic Toys(BrickLink, US)","CFA47,199Avg: CFA37,215",-
76134-1,Spider-Man: Doc Ock Diamond Heist,Super Heroes Marvel,2019,151,"3_BRICKS(BrickOwl, SI)","CFA24,209Avg: CFA19,088",-
5002948-1,C-3PO,Star Wars,2015,3,"3_BRICKS(BrickOwl, SI)","CFA7,483Avg: CFA5,898",-
70617-1,Temple of The Ultimate Ultimate Weapon,Ninjago,2017,1403,"1brick4all(BrickOwl, IT)","CFA77,403Avg: CFA61,002",-
41911-1,Go Team!,DOTS,2020,33,"United Parts(BrickOwl, GB)","CFA4,004Avg: CFA3,155",-
71025-1,Video Game Champ,Collectible Minifigures,2019,7,"WayTooManyBricks(BrickOwl, GB)","CFA3,050Avg: CFA2,403",-
5004934-1,Christmas Ornament,Seasonal,2017,66,"1brick4all(BrickOwl, IT)","CFA5,904Avg: CFA4,651",-
9689-1,Simple Machines Set,Educational and Dacta,2009,204,"3_BRICKS(BrickOwl, SI)","CFA56,147Avg: CFA44,230",-
80012-1,Monkey King Warrior Mech,Monkie Kid,2020,1629,"A brick per day e.U.(BrickOwl, AT)","CFA122,150Avg: CFA96,223",-
31105-1,Townhouse Toy Store,Creator,2020,554,"3_BRICKS(BrickOwl, SI)","CFA34,318Avg: CFA27,027",-
21034-1,London,Architecture,2016,468,"1brick4all(BrickOwl, IT)","CFA34,110Avg: CFA26,862",-
70820-1,Movie Maker,The LEGO Movie,2019,482,"3_BRICKS(BrickOwl, SI)","CFA38,728Avg: CFA30,493",-
10014-1,Caboose,Train,2001,170,"Set Shop Boy(BrickOwl, DE)","CFA64,940Avg: CFA51,124",-
70842-1,Emmet's Triple-Decker Couch Mech,The LEGO Movie,2019,312,"A brick per day e.U.(BrickOwl, AT)","CFA24,274Avg: CFA19,108",-
8089-1,Hoth Wampa Cave,Star Wars,2010,297,"Set Shop Boy(BrickOwl, DE)","CFA58,380Avg: CFA45,954",-
21043-1,San Francisco,Architecture,2019,565,"shop-bricks(BrickOwl, DE)","CFA39,325Avg: CFA30,947",-
76385-1,Hogwarts Moment: Charms Class,Harry Potter,2021,256,"3_BRICKS(BrickOwl, SI)","CFA25,451 Avg: CFA20,028",-
40313-1,Bicycles,Xtra,2018,21,"Rares and Spares(BrickOwl, BE)","CFA4,526Avg: CFA3,562",-
40383-1,Bride,Brickheadz,2020,306,"3_BRICKS(BrickOwl, SI)","CFA15,595Avg: CFA12,272",-
9468-1,The Vampyre Castle,Monster Fighters,2012,949,"1brick4all(BrickOwl, IT)","CFA163,333Avg: CFA128,524",-
66651-1,Roller Coaster,Promotional,2020,109,"Amazon US(Amazon, US)","CFA32,374Avg: CFA25,463",-
75241-1,Action Battle Echo Base Defense,Star Wars,2019,504,"3_BRICKS(BrickOwl, SI)","CFA42,364Avg: CFA33,319",-
71009-1,Homer,Collectible Minifigures,2015,5,"Brick Takeover(BrickOwl, DE)","CFA3,102Avg: CFA2,440",-
75953-1,Hogwarts Whomping Willow,Harry Potter,2018,754,"A brick per day e.U.(BrickOwl, AT)","CFA55,656Avg: CFA43,765",-
75249-1,Resistance Y-Wing Starfighter,Star Wars,2019,578,"1brick4all(BrickOwl, IT)","CFA51,821Avg: CFA40,745",-
75271-1,Luke Skywalker's Landspeeder,Star Wars,2020,236,"3_BRICKS(BrickOwl, SI)","CFA22,465Avg: CFA17,662",-
30447-1,Captain America's Motorcycle,Super Heroes Marvel,2016,25,"Brick Door(BrickOwl, US)","CFA8,095Avg: CFA6,364",-
70832-1,Emmet’s Builder Box!,The LEGO Movie,2019,125,"3_BRICKS(BrickOwl, SI)","CFA24,209Avg: CFA19,032",-
75205-1,Mos Eisley Cantina,Star Wars,2018,376,"3_BRICKS(BrickOwl, SI)","CFA40,385Avg: CFA31,746",-
41317-1,Sunshine Catamaran,Friends,2017,603,"3_BRICKS(BrickOwl, SI)","CFA53,058Avg: CFA41,705",-
30270-1,Kraang's Turtle Target Practice,Teenage Mutant Ninja Turtles,2013,36,"Brick Takeover(BrickOwl, DE)","CFA4,298Avg: CFA3,378",-
71742-1,Overlord Dragon,Ninjago,2021,372,"3_BRICKS(BrickOwl, SI)","CFA22,906Avg: CFA17,999",-
40466-1,Chinese New Year Pandas,Brickheadz,2021,249,"A brick per day e.U.(BrickOwl, AT)","CFA19,473Avg: CFA15,301",-
60182-1,Pickup & Caravan,Town,2018,344,"brasletty - ask first SH(BrickLink, BE)","CFA26,254Avg: CFA20,625",-
79011-1,Dol Guldur Ambush,The Hobbit and Lord of the Rings,2013,218,"Golden_Bricks(BrickLink, DK)","CFA24,719Avg: CFA19,418",-
40384-1,Groom,Brickheadz,2020,255,"3_BRICKS(BrickOwl, SI)","CFA15,595Avg: CFA12,250",-
76070-1,Mighty Micros: Wonder Woman vs. Doomsday,Super Heroes DC,2017,85,"Brick-A-Lot(BrickOwl, GB)","CFA8,388Avg: CFA6,588",-
60182-1,Pickup & Caravan,Town,2018,344,"The Magic Brick!(BrickLink, PT)","CFA26,261Avg: CFA20,625",-
60182-1,Pickup & Caravan,Town,2018,344,"Twin Brick(BrickLink, FR)","CFA26,261Avg: CFA20,625",-
76899-1,Lamborghini Urus ST-X & Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,666,"Amazon US(Amazon, US)","CFA45,806Avg: CFA35,972",-
75934-1,Dilophosaurus on the Loose,Jurassic World,2019,168,"Brick Takeover(BrickOwl, DE)","CFA20,358Avg: CFA15,987",-
75217-1,Imperial Conveyex Transport,Star Wars,2018,622,"3_BRICKS(BrickOwl, SI)","CFA70,744Avg: CFA55,552",-
76081-1,The Milano vs. The Abilisk,Super Heroes Marvel,2017,462,"Bricks and Sets(BrickLink, PL)","CFA67,991Avg: CFA53,386",-
42043-1,Mercedes-Benz Arocs 3245,Technic,2015,2793,"TRUE NORTH BRICKS(BrickLink, CA)","CFA239,846Avg: CFA188,305",-
76091-1,Mighty Micros: Thor vs. Loki,Super Heroes Marvel,2018,79,"A brick per day e.U.(BrickOwl, AT)","CFA8,545Avg: CFA6,708",-
30361-1,Fire ATV,Town,2019,39,"Amazon UK(Amazon, GB)","CFA3,066List: CFA3,195Avg: CFA2,508",-
76085-1,Battle of Atlantis,Super Heroes DC,2017,198,"3_BRICKS(BrickOwl, SI)","CFA17,670Avg: CFA13,869",-
31070-1,Turbo Track Racer,Creator,2017,670,"Bricks 2 Grow On(BrickOwl, US)","CFA40,474Avg: CFA31,768",-
75973-1,D.Va & Reinhardt,Overwatch,2019,455,"We-Like-It Bricks(BrickOwl, US)","CFA33,998Avg: CFA26,685",-
41571-1,Tuth,Mixels,2016,67,"1brick4all(BrickOwl, IT)","CFA5,904Avg: CFA4,634",-
75100-1,First Order Snowspeeder,Star Wars,2015,444,"1brick4all(BrickOwl, IT)","CFA36,078Avg: CFA28,312",-
40341-1,Sea Accessories,Xtra,2019,24,"Brick Takeover(BrickOwl, DE)","CFA4,150Avg: CFA3,256",-
9500-1,Sith Fury-class Interceptor,Star Wars,2012,748,"Sina´s Brickland(BrickLink, DE)","CFA122,317Avg: CFA95,977",-
75551-1,Brick-Built Minions and Their Lair,Minions,2020,876,"3_BRICKS(BrickOwl, SI)","CFA50,109Avg: CFA39,317",-
7678-1,Droid Gunship,Star Wars,2008,329,"MY OWN STORE(BrickLink, DK)","CFA52,970Avg: CFA41,551",-
41234-1,Bumblebee Helicopter,DC Super Hero Girls,2017,142,"A brick per day e.U.(BrickOwl, AT)","CFA10,447Avg: CFA8,194",-
7642-1,Garage,Town,2009,958,"The Brick Guy 22(BrickOwl, US)","CFA161,358Avg: CFA126,560",-
43192-1,Cinderella’s Royal Carriage,Disney Princess,2021,237,"3_BRICKS(BrickOwl, SI)","CFA30,541Avg: CFA23,953",-
271721-1,Clay's Mini Falcon,Nexo Knights,2017,44,"Set Shop Boy(BrickOwl, DE)","CFA2,093Avg: CFA1,641",-
31080-1,Modular Winter Vacation,Creator,2018,374,"eBay US(eBay, US)","CFA26,438Avg: CFA20,730",-
60253-1,Ice-cream Truck,Town,2020,200,"1brick4all(BrickOwl, IT)","CFA16,399 Avg: CFA12,857",-
71382-1,Piranha Plant Puzzling Challenge Expansion Set,Super Mario,2021,267,"3_BRICKS(BrickOwl, SI)","CFA22,906Avg: CFA17,959",-
41555-1,Busto,Mixels,2016,69,"Brick-A-Lot(BrickOwl, GB)","CFA5,262Avg: CFA4,125",-
70634-1,Nya - Spinjitzu Master,Ninjago,2018,70,"3_BRICKS(BrickOwl, SI)","CFA8,074Avg: CFA6,328",-
70901-1,Mr. Freeze Ice Attack,Super Heroes DC,2017,201,"A brick per day e.U.(BrickOwl, AT)","CFA18,271Avg: CFA14,318",-
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"Brickshop UK(BrickOwl, GB)","CFA5,529Avg: CFA4,332",-
40379-1,Bear,Brickheadz,2020,150,"shop-bricks(BrickOwl, DE)","CFA13,086Avg: CFA10,254",-
42043-1,Mercedes-Benz Arocs 3245,Technic,2015,2793,"Bricks War Store(BrickLink, MY)","CFA240,327Avg: CFA188,305",-
41233-1,Lashina Tank,DC Super Hero Girls,2017,145,"A brick per day e.U.(BrickOwl, AT)","CFA10,447Avg: CFA8,185",-
40350-1,Chick,Brickheadz,2019,120,"ubertoys.eu(BrickOwl, BE)","CFA12,432Avg: CFA9,741",-
41256-1,Rainbow Caterbus,Trolls: World Tour,2020,391,"Amazon US(Amazon, US)","CFA33,426Avg: CFA26,188",-
40293-1,Christmas Carousel,Seasonal,2018,251,"Stevens Bricks and Sets(BrickLink, NL)","CFA23,635Avg: CFA18,512",-
40440-1,German Shepherd and Puppy,Brickheadz,2021,247,"eBay US(eBay, US)","CFA13,486Avg: CFA10,562",-
75277-1,Boba Fett,Star Wars,2020,625,"TimsBrickHouse(BrickOwl, US)","CFA53,939Avg: CFA42,244",-
60203-1,Ski Resort,Town,2019,806,"Brick Takeover(BrickOwl, DE)","CFA67,088Avg: CFA52,540",-
9474-1,The Battle of Helm’s Deep,The Hobbit and Lord of the Rings,2012,1367,"Chaddyboys Brickshop(BrickLink, US)","CFA217,887Avg: CFA170,639",-
21315-1,Pop-Up Book,LEGO Ideas and CUUSOO,2018,859,"steinwerk24_com(BrickOwl, DE)","CFA65,563Avg: CFA51,345",- 
70678-1,Castle of the Forsaken Emperor,Ninjago,2019,1219,"1brick4all(BrickOwl, IT)","CFA78,059Avg: CFA61,130",-
75970-1,Tracer vs. Widowmaker,Overwatch,2019,129,"Amazon US(Amazon, US)"," CFA13,459Avg: CFA10,540",-
75229-1,Death Star Escape,Star Wars,2019,329,"TrucDeGeek(BrickOwl, FR)","CFA22,958Avg: CFA17,978",-
75153-1,AT-ST Walker,Star Wars,2016,449,"samarakubik(BrickLink, RU)","CFA45,792Avg: CFA35,846",-
42104-1,Race Truck,Technic,2020,227,"Brick Takeover(BrickOwl, DE)","CFA16,283Avg: CFA12,746",-
75879-1,Scuderia Ferrari SF16-H,Speed Champions,2017,184,"BrickAndBuild(BrickLink, CZ)","CFA20,282Avg: CFA15,875",-
41256-1,Rainbow Caterbus,Trolls: World Tour,2020,391,"Everythingandthelegokitchensink(BrickOwl, US)","CFA33,459Avg: CFA26,188",-
42082-1,Rough Terrain Crane,Technic,2018,4056,"A brick per day e.U.(BrickOwl, AT)","CFA160,564Avg: CFA125,648",-
70841-1,Benny's Space Squad,The LEGO Movie,2019,68,"3_BRICKS(BrickOwl, SI)","CFA9,685Avg: CFA7,579",-
40346-1,LEGOLAND Park,Legoland Parks,2019,1336,"Bricks Space(BrickOwl, IT)","CFA98,394Avg: CFA76,992",-
8143-1,Ferrari 1:17 F430 Challenge,Racers,2007,690,"Set Shop Boy(BrickOwl, DE)","CFA156,774Avg: CFA122,670",-
45300-1,WeDo 2.0 Core Set,Educational and Dacta,2016,281,"eBay US(eBay, US)","CFA140,295Avg: CFA109,773",-
10244-1,Fairground Mixer,Creator,2014,1745,"A BRICK TOO FAR...(BrickOwl, US)","CFA161,892Avg: CFA126,656",-
76383-1,Hogwarts Moment: Potions Class,Harry Potter,2021,271,"3_BRICKS(BrickOwl, SI)","CFA25,451Avg: CFA19,911",-
10234-1,Sydney Opera House,Creator,2013,2989,"1brick4all(BrickOwl, IT)","CFA307,644Avg: CFA240,635",-
70667-1,Kai’s Blade Cycle & Zane’s Snowmobile,Ninjago,2019,377,"A brick per day e.U.(BrickOwl, AT)","CFA23,730Avg: CFA18,559",-
75043-1,AT-AP,Star Wars,2014,717,"Set Shop Boy(BrickOwl, DE)","CFA64,940Avg: CFA50,788",-
40376-1,Botanical Accessories,Xtra,2020,32,"shop-bricks(BrickOwl, DE)","CFA4,559Avg: CFA3,565",-
10280-1,Flower Bouquet,Creator,2021,756,"3_BRICKS(BrickOwl, SI)","CFA57,265Avg: CFA44,777",-
75216-1,Snoke's Throne Room,Star Wars,2018,492,"3_BRICKS(BrickOwl, SI)","CFA53,002Avg: CFA41,443",-
41775-1,Rainbow Unikitty,Unikitty!,2018,15,"The Brick Guy 22(BrickOwl, US)","CFA3,040Avg: CFA2,377",-
70915-1,Two-Face Double Demolition,Super Heroes DC,2017,565,"A brick per day e.U.(BrickOwl, AT)","CFA44,402Avg: CFA34,713",-
850618-1,City Fire Accessory Set,Town,2013,43,"shop-bricks(BrickOwl, DE)","CFA9,807Avg: CFA7,666",-
40428-1,The Joker,Brick Sketches,2020,170,"A brick per day e.U.(BrickOwl, AT)","CFA18,962Avg: CFA14,823",-
9499-1,Gungan Sub,Star Wars,2012,466,"Top Bricks(BrickLink, US)","CFA121,423Avg: CFA94,917",-
5071-1,"Wheel Sets, Large, Red",Service Packs,1987,2,"3_BRICKS(BrickOwl, SI)","CFA39,052Avg: CFA30,525",-
75958-1,Beauxbatons' Carriage: Arrival at Hogwarts,Harry Potter,2019,431,"Amazon US(Amazon, US)","CFA37,744Avg: CFA29,496",-
75257-1,Millennium Falcon,Star Wars,2019,1348,"1brick4all(BrickOwl, IT)","CFA130,535Avg: CFA102,009",-
7198-1,Fighter Plane Attack,Indiana Jones,2009,384,"gtown sets & more(BrickLink, US)","CFA106,852Avg: CFA83,498",-
30241-1,Mandalorian Fighter,Star Wars,2013,49,"Pyckme Bricks(BrickLink, CA)","CFA8,095Avg: CFA6,325",-
