Set,Name,Theme,Year,Parts,Store,Cost,Discount
891837-1,Nya,Ninjago,2018,10,"Brick Takeover(BrickOwl, DE)","CFA1,197Avg: CFA2,462",51%
60032-1,Arctic Snowmobile,Town,2014,44,"BizzBricks(BrickOwl, IT)","CFA8,199Avg: CFA16,857",51%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"RockyBricks(BrickLink, SK)","CFA3,939Avg: CFA8,095",51%
850939-1,Santa Set,Seasonal,2014,27,"Luxbrick(BrickOwl, LU)","CFA4,592Avg: CFA9,268",50%
912055-1,Snowspeeder,Star Wars,2020,28,"Brick Takeover(BrickOwl, DE)","CFA1,273Avg: CFA2,558",50%
30372-1,Robin's Mini Fortrex,Nexo Knights,2016,45,"Brick Door(BrickOwl, US)","CFA1,619Avg: CFA3,249",50%
30320-1,Gallimimus Trap,Jurassic World,2015,29,"Southern Brick Supply(BrickOwl, US)","CFA11,144Avg: CFA22,351",50%
30312-1,Demolition Driller,Town,2015,40,"Pleasure Bricks(BrickOwl, GB)","CFA2,593Avg: CFA5,182",50%
10699-1,Sand Baseplate,Classic,2015,1,"NW_Bricks(BrickLink, US)","CFA3,643Avg: CFA7,257",50%
8300-1,TECHNIC Team,Technic,2000,7,"Set Shop Boy(BrickOwl, DE)","CFA64,940Avg: CFA129,248",50%
5115-1,9V Battery Box,Service Packs,1992,1,"Brickville(BrickOwl, BE)","CFA29,518Avg: CFA58,479",50%
41635-1,Wyldstyle,Brickheadz,2019,134,"Amazon US(Amazon, US)","CFA32,374Avg: CFA63,769",49%
76159-1,Joker's Trike Chase,Super Heroes DC,2020,439,"eBay US(eBay, US)","CFA15,105Avg: CFA29,703",49%
30383-1,Naboo Starfighter,Star Wars,2019,48,"Darth Business Outlet(BrickOwl, US)","CFA1,889Avg: CFA3,703",49%
41423-1,Tiger Hot Air Balloon Jungle Rescue,Friends,2020,302,"eBay US(eBay, US)","CFA11,872Avg: CFA23,251",49%
2000416-1,Duck,Educational and Dacta,2012,6,"BrickBaron(BrickOwl, DK)","CFA1,235Avg: CFA2,418",49%
9748-1,Droid Developer Kit,Mindstorms,1999,658,"ACN BRICKS - FREE S&H>$500(BrickLink, BR)","CFA67,452Avg: CFA131,938",49%
60227-1,Lunar Space Station,Town,2019,412,"eBay US(eBay, US)","CFA16,184Avg: CFA31,637",49%
76123-1,Captain America: Outriders Attack,Super Heroes Marvel,2019,176,"eBay US(eBay, US)","CFA8,041Avg: CFA15,717",49%
70106-1,Ice Tower,Legends of Chima,2013,101,"Brick Door(BrickOwl, US)","CFA2,698Avg: CFA5,271",49%
70838-1,Queen Watevra's ‘So-Not-Evil' Space Palace,The LEGO Movie,2019,997,"BricksPhD(BrickLink, US)","CFA30,761Avg: CFA60,083",49%
70820-1,Movie Maker,The LEGO Movie,2019,482,"MinifigWorks(BrickLink, US)","CFA15,650Avg: CFA30,493",49%
70822-1,Unikitty's Sweetest Friends EVER!,The LEGO Movie,2019,76,"Badeloch's Bricks(BrickOwl, NL)","CFA3,280Avg: CFA6,355",48%
40416-1,Ice Skating Rink,Seasonal,2020,304,"eBay US(eBay, US)"," CFA9,714Avg: CFA18,768",48%
852747-1,Battle Pack Pirates,Pirates,2009,40,"We-Like-It Bricks(BrickOwl, US)","CFA36,427Avg: CFA70,265",48%
41591-1,Black Widow,Brickheadz,2017,143,"A BRICK TOO FAR...(BrickOwl, US)","CFA5,931Avg: CFA11,424",48%
30576-1,Holiday Tree,Seasonal,2020,70,"Brick Takeover(BrickOwl, DE)","CFA2,648Avg: CFA5,094",48%
111901-1,Garmadon,Ninjago,2019,10,"Brick Takeover(BrickOwl, DE)","CFA2,617Avg: CFA5,030",48%
911945-1,Slave I,Star Wars,2019,31,"Badeloch's Bricks(BrickOwl, NL)","CFA1,240Avg: CFA2,381",48%
75119-1,Sergeant Jyn Erso,Star Wars,2016,104,"Whit’s Bricks(BrickOwl, US)","CFA5,391Avg: CFA10,352",48%
41636-1,Benny,Brickheadz,2019,103,"Amazon US(Amazon, US)","CFA31,700Avg: CFA60,789",48%
88012-1,Technic Hub,Technic,2020,1,"Brick Takeover(BrickLink, DE)","CFA23,267Avg: CFA44,572",48%
40379-1,Bear,Brickheadz,2020,150,"Amazon US(Amazon, US)","CFA5,391Avg: CFA10,254",47%
75525-1,Baze Malbus,Star Wars,2017,148,"We-Like-It Bricks(BrickOwl, US)","CFA9,714Avg: CFA18,447",47%
30607-1,Disco Batman - Tears of Batman,Super Heroes DC,2017,13,"Brick Door(BrickOwl, US)","CFA6,206Avg: CFA11,674",47%
88015-1,Battery Box,Power Functions,2021,1,"Amazon US(Amazon, US)","CFA12,682Avg: CFA23,767",47%
40413-1,Mini Robots,Mindstorms,2020,366,"Brick Takeover(BrickOwl, DE)","CFA8,016Avg: CFA15,013",47%
71718-1,Wu's Battle Dragon,Ninjago,2020,321,"eBay US(eBay, US)","CFA6,422Avg: CFA11,985",46%
271717-1,Rock Speeder,Nexo Knights,2017,31,"Badeloch's Bricks(BrickOwl, NL)","CFA656Avg: CFA1,224",46%
853875-1,Sweet Mayhem's Disco Pod,The LEGO Movie,2019,29,"Amazon US(Amazon, US)","CFA3,346Avg: CFA6,233",46%
